,stat_month,m2,m1,m0,m2_yoy,m1_yoy,m0_yoy,label
125,2005-02-01,259357.29,92814.95,22667.97,13.9,10.6,14.0,0
124,2005-03-01,264588.94,94743.19,21238.95,14.0,9.9,10.1,0
130,2005-04-01,266992.66,94593.72,21666.56,14.1,10.0,9.0,0
129,2005-05-01,269240.49,95802.01,20811.59,14.7,10.4,9.3,0
128,2005-06-01,275785.53,98601.25,20848.76,15.7,11.3,9.6,0
127,2005-07-01,276966.28,97674.1,21171.2,16.3,11.0,9.1,0
132,2005-08-01,281288.22,99377.7,21351.56,17.3,11.5,9.4,0
131,2005-09-01,287438.27,100964.0,22272.92,17.9,11.6,8.5,0
154,2005-10-01,287591.61,101751.98,21892.98,18.0,12.1,9.0,0
155,2005-11-01,292350.39,104125.78,22409.39,18.3,12.7,10.9,0
156,2005-12-01,298755.48,107278.57,24031.67,17.6,11.8,11.9,0
145,2006-01-01,303571.65,107250.68,29310.37,19.2,10.6,22.1,0
143,2006-02-01,304516.27,104357.08,24482.02,18.8,12.4,8.0,0
144,2006-03-01,310490.65,106737.08,23472.03,18.8,12.7,10.5,0
148,2006-04-01,313702.34,106389.11,24155.73,18.9,12.5,11.5,0
149,2006-05-01,316709.81,109219.22,23465.32,19.1,14.0,12.8,0
146,2006-06-01,322756.35,112342.36,23469.08,18.4,13.9,12.6,0
147,2006-07-01,324010.76,112653.04,23752.59,18.4,15.3,12.2,0
176,2006-08-01,327885.67,114845.67,24185.36,17.9,15.6,13.3,0
177,2006-09-01,331865.36,116814.1,25687.38,16.8,15.7,15.3,0
169,2006-10-01,332747.17,118359.96,24964.16,17.1,16.3,14.0,0
116,2006-11-01,337504.15,121644.95,25527.25,16.8,16.8,13.9,0
168,2006-12-01,345577.91,126028.05,27072.62,16.9,17.5,12.7,1
118,2007-01-01,351498.77,128484.06,27949.13,15.8,19.8,-4.6,1
120,2007-02-01,358659.25,126258.08,30627.93,17.8,21.0,25.1,1
119,2007-03-01,364104.66,127881.31,27387.95,17.3,19.8,16.7,1
139,2007-04-01,367326.45,127678.33,27813.88,17.1,20.0,15.1,1
121,2007-05-01,369718.15,130275.8,26727.97,16.7,19.3,13.9,1
123,2007-06-01,377832.15,135847.4,26881.09,17.1,20.9,14.5,1
122,2007-07-01,383884.88,136237.43,27326.26,18.5,20.9,15.1,1
195,2007-08-01,387205.04,140993.21,27822.39,18.1,22.8,15.0,1
114,2007-09-01,393098.91,142591.57,29030.58,18.5,22.1,13.0,1
141,2007-10-01,394204.17,144649.33,28317.78,18.5,22.2,13.4,1
142,2007-11-01,399757.91,148009.82,28987.92,18.5,21.7,13.6,1
140,2007-12-01,403401.3,152519.17,30334.32,16.7,21.0,12.1,1
160,2008-01-01,417846.17,154872.59,36673.15,18.88,20.54,31.21,1
161,2008-02-01,421037.84,150177.88,32454.47,17.39,18.95,5.96,1
162,2008-03-01,423054.53,150867.47,30433.07,16.19,17.97,11.12,1
163,2008-04-01,429313.72,151694.91,30789.61,16.94,19.05,10.7,1
164,2008-05-01,436221.6,153344.75,30169.3,18.07,17.93,12.88,0
165,2008-06-01,443141.02,154820.15,30181.32,17.37,14.19,12.28,0
166,2008-07-01,446362.17,154992.44,30687.19,16.35,13.96,12.3,0
158,2008-08-01,448846.68,156889.92,30851.62,16.0,11.48,10.89,0
159,2008-09-01,452898.71,155748.97,31724.88,15.29,9.43,9.28,0
152,2008-10-01,453133.32,157194.36,31317.84,15.02,8.85,10.59,0
151,2008-11-01,458644.66,157826.63,31607.36,14.8,6.8,9.04,0
150,2008-12-01,475166.6,166217.13,34218.96,17.82,9.06,12.65,0
186,2009-01-01,496135.3078,165214.3413,41082.3711,18.79,6.68,12.02,0
185,2009-02-01,506708.07,166149.6012,35141.6442,20.48,10.87,8.28,0
184,2009-03-01,530626.7118,176541.1313,33746.4228,25.51,17.04,10.88,0
183,2009-04-01,540481.2137,178213.5683,34257.2674,25.95,17.48,11.26,0
182,2009-05-01,548263.51,182025.58,33559.52,25.74,18.69,11.24,0
181,2009-06-01,568916.2,193138.15,33640.98,28.46,24.79,11.46,0
180,2009-07-01,573102.8517,195889.27,34239.3,28.42,26.37,11.59,0
188,2009-08-01,576698.9535,200394.8261,34406.6198,28.53,27.72,11.52,0
187,2009-09-01,585405.3373,201708.1398,36787.8857,29.31,29.51,15.96,1
213,2009-10-01,586643.2887,207545.7431,35730.2253,29.42,32.03,14.09,1
214,2009-11-01,594604.7213,212493.2037,36343.8599,29.74,34.63,14.99,1
215,2009-12-01,610224.5231,221445.8057,38246.9744,27.68,32.35,11.77,1
33,2010-01-01,625609.29,229588.98,40758.58,25.98,38.96,-0.79,1
35,2010-02-01,636072.2646,224286.9544,42865.7856,25.52,34.99,21.98,1
34,2010-03-01,649947.4643,229397.9332,39080.5819,22.5,29.94,15.81,1
71,2010-04-01,656561.217,233909.7597,39657.5365,21.48,31.25,15.76,1
94,2010-05-01,663351.37,236497.8831,38652.9716,21.0,29.9,15.2,1
39,2010-06-01,673921.7239,240579.9975,38904.8453,18.5,24.6,15.7,1
38,2010-07-01,674051.4789,240664.0696,39543.157,17.6,22.9,15.5,1
41,2010-08-01,687506.9183,244340.6421,39922.7594,19.2,21.9,16.0,1
107,2010-09-01,696471.5,243821.9,41854.41,19.0,20.9,13.8,1
153,2010-10-01,699776.7409,253313.1693,41646.2061,19.3,22.1,16.6,1
60,2010-11-01,710339.025,259420.32,42252.1624,19.5,22.1,16.3,1
157,2010-12-01,725851.79,266621.54,44628.17,19.7,21.2,16.7,1
170,2011-01-01,733884.8297,261765.006,58063.9403,17.2,13.6,42.5,0
100,2011-02-01,736130.8633,259200.4996,47270.2411,15.7,14.5,10.3,0
101,2011-03-01,758130.88,266255.48,44845.22,16.6,15.0,14.8,0
105,2011-04-01,757384.5619,266766.9145,45489.028,15.3,12.9,14.7,0
106,2011-05-01,763409.2151,269289.6255,44602.8316,15.1,12.7,15.4,0
103,2011-06-01,780820.85,274662.57,44477.8,15.9,13.1,14.4,0
104,2011-07-01,772923.65,270545.65,45183.1,14.7,11.6,14.3,0
97,2011-08-01,780852.3021,273393.7738,45775.2865,13.5,11.2,14.7,0
98,2011-09-01,787406.2038,267193.1613,47145.2871,13.04,8.85,12.68,0
72,2011-10-01,816829.2489,276552.6711,46579.3922,12.9,8.4,11.9,0
197,2011-11-01,825493.9445,281416.3725,47317.2612,12.7,7.8,12.0,0
74,2011-12-01,851590.9,289847.697,50748.4617,13.6,7.9,13.8,0
81,2012-01-01,855898.89,270010.4,59820.72,12.4,3.1,3.0,0
80,2012-02-01,867171.42,270312.11,51448.78,13.0,4.3,8.8,0
79,2012-03-01,895565.5,277998.11,49595.74,13.4,4.4,10.6,0
85,2012-04-01,889604.04,274983.82,50199.32,12.8,3.1,10.4,0
84,2012-05-01,900048.77,278656.31,49039.72,13.2,3.5,10.0,0
83,2012-06-01,924991.2,287526.17,49284.64,13.6,4.7,10.8,0
82,2012-07-01,919072.4019,283090.6809,49705.8478,13.9,4.6,10.0,0
76,2012-08-01,924894.5865,285739.2653,50235.0615,13.5,4.5,9.7,0
75,2012-09-01,943688.7534,286788.2061,53433.4881,14.8,7.3,13.3,0
110,2012-10-01,936404.2792,293309.7849,51467.712,14.1,6.1,10.5,0
111,2012-11-01,944832.4,296883.0,52392.12,13.9,5.5,10.7,0
112,2012-12-01,974148.8,308664.23,54659.77,13.8,6.5,7.7,0
45,2013-01-01,992129.25,311228.55,62449.63,15.9,15.3,4.4,0
46,2013-02-01,998600.83,296103.24,60313.65,15.2,9.5,17.2,0
47,2013-03-01,1035858.37,310898.29,55460.52,15.7,11.9,12.4,0
40,2013-04-01,1032551.903,307648.4202,55607.1512,16.1,11.9,10.8,0
109,2013-05-01,1042169.16,310204.48,54431.39,15.8,11.3,10.8,0
42,2013-06-01,1054403.69,313499.82,54063.91,14.0,9.1,9.9,0
43,2013-07-01,1052212.34,310596.46,54412.78,14.5,9.7,9.5,0
36,2013-08-01,1061256.43,314085.91,54925.35,14.7,9.9,9.3,0
37,2013-09-01,1077379.163,312330.3433,56492.5311,14.2,8.9,5.7,0
210,2013-10-01,1070242.167,319509.38,55595.72,14.3,8.9,8.0,0
209,2013-11-01,1079257.055,324821.9228,56441.2724,14.2,9.4,7.7,0
208,2013-12-01,1106524.98,337291.05,58574.44,13.6,9.3,7.1,0
29,2014-01-01,1123521.21,314900.5525,76488.5952,13.2,1.2,22.5,0
32,2014-02-01,1131760.83,316625.11,62320.95,13.3,6.9,3.3,0
31,2014-03-01,1160687.38,327683.74,58329.3,12.1,5.4,5.2,0
26,2014-04-01,1168812.67,324482.52,58615.54,13.2,5.5,5.4,0
25,2014-05-01,1182293.96,327839.56,58051.11,13.4,5.7,6.7,0
28,2014-06-01,1209587.2,341487.45,56951.05,14.7,8.9,5.3,0
27,2014-07-01,1194249.24,331347.32,57346.5,13.5,6.7,5.4,0
24,2014-08-01,1197499.08,332023.23,57997.61,12.8,5.7,5.6,0
23,2014-09-01,1202051.41,327220.21,58844.99,12.9,4.8,4.2,0
69,2014-10-01,1199236.314,329617.7321,57691.6376,12.6,3.2,3.8,0
70,2014-11-01,1208605.95,335114.13,58438.53,12.3,3.2,3.5,0
67,2014-12-01,1228374.807,348056.4089,60259.5288,12.2,3.2,2.9,0
66,2015-01-01,1242710.2185,348109.5022,63040.5067,10.8,10.6,-17.6,0
65,2015-02-01,1257380.4785,334439.2227,72896.1935,12.5,5.6,17.0,0
179,2015-03-01,1275332.78,337210.52,61949.81,11.6,2.9,6.2,0
63,2015-04-01,1280779.14,336388.24,60772.46,10.1,3.7,3.7,0
64,2015-05-01,1307357.63,343085.86,59075.97,10.8,4.7,1.8,0
61,2015-06-01,1333375.3645,356082.8555,58604.2643,11.8,4.3,2.9,0
62,2015-07-01,1353210.9248,353122.1938,59010.7077,13.3,6.6,2.9,0
73,2015-08-01,1356907.98,362793.73,59061.79,13.3,9.3,1.8,0
207,2015-09-01,1359824.06,364416.9,61022.97,13.1,11.4,3.7,0
174,2015-10-01,1361020.7046,375806.4497,59900.4754,13.5,14.0,3.8,1
171,2015-11-01,1373956.01,387618.32,60328.24,13.7,15.7,3.2,1
115,2015-12-01,1392278.1092,400953.44,63216.578,13.3,15.2,4.9,1
134,2016-01-01,1416319.55,412685.64,72526.51,14.0,18.6,15.1,1
133,2016-02-01,1424618.6779,392504.6963,69421.4954,13.3,17.4,-4.8,1
90,2016-03-01,1446198.03,411581.31,64651.21,13.4,22.1,4.4,1
19,2016-04-01,1445209.59,413504.84,64403.17,12.8,22.9,6.0,1
18,2016-05-01,1461695.11,424250.7,62780.71,11.8,23.7,6.3,1
17,2016-06-01,1490491.83,443643.7,62818.89,11.8,24.6,7.2,1
16,2016-07-01,1491558.72,442934.43,63276.01,10.2,25.4,7.2,1
15,2016-08-01,1510982.91,454543.6,63454.7,11.4,25.3,7.4,1
14,2016-09-01,1516360.5,454340.25,65068.62,11.5,24.7,6.6,1
13,2016-10-01,1519485.4,465446.65,64214.93,11.6,23.9,7.2,1
12,2016-11-01,1530432.06,475405.54,64903.5,11.4,22.7,7.6,1
11,2016-12-01,1550066.6678,486557.2374,68303.8678,11.3,21.4,8.1,1
10,2017-01-01,1584194.5638,472526.45,86598.61,10.7032,14.5,19.4,1
9,2017-02-01,1589856.9954,476527.6,71727.69,10.45,21.4,3.3,1
8,2017-03-01,1607938.98,488770.09,68605.05,10.1178,18.8,6.1,1
7,2017-04-01,1603918.8402,490180.4197,68392.5964,9.8426,18.5,6.2,1
6,2017-05-01,1609740.7738,496389.7822,67333.2071,9.1289,17.0,7.3,1
5,2017-06-01,1639497.0451,510228.166,66977.6816,9.1013,15.0,6.6,1
4,2017-07-01,1636341.1052,510484.5775,67129.0414,8.89,15.3,6.1,1
3,2017-08-01,1652947.3003,518113.9298,67550.9895,8.5633,14.0,6.5,1
2,2017-09-01,1663666.0544,517863.0373,69748.5402,8.976,14.0,7.2,1
1,2017-10-01,1662449.9602,525977.1904,68230.688,8.8771,13.0,6.3,1
0,2017-11-01,1679156.6361,535565.0495,68623.1573,9.1148,12.7,5.7,1
216,2017-12-01,1690235.3147,543790.1452,70645.5992,8.0654,11.8,3.4,1
217,2018-01-01,1720814.4621,543247.1257,74636.2901,8.6,15.0,-13.8,1
218,2018-02-01,1729070.1181,517035.9928,81424.2434,8.8,8.5,13.5,0
219,2018-03-01,1739859.4777,523540.0746,72692.6287,8.2,7.1,6.0,0
220,2018-04-01,1737683.7295,525447.7703,71476.4562,8.3,7.2,4.5,0
221,2018-05-01,1743063.7923,526276.7155,69774.808,8.3,6.0,3.6,0
222,2018-06-01,1770178.373,543944.7123,69589.3334,8.0,6.6,3.9,0
223,2018-07-01,1776196.1052,536624.2939,69530.5898,8.5,5.1,3.6,0
224,2018-08-01,1788670.4297,538324.6443,69775.393,8.2,3.9,3.3,0
225,2018-09-01,1801665.5815,538574.0825,71254.2611,8.3,4.0,2.2,0
226,2018-10-01,1795561.5956,540128.3655,70106.6209,8.0,2.7,2.8,0
227,2018-11-01,1813175.0654,543498.6609,70563.3043,8.0,1.5,2.8,0
228,2018-12-01,1826744.2157,551685.9075,73208.4034,8.1,1.5,3.6,0
229,2019-01-01,1865935.33,545638.46,87470.62,8.4,0.4,17.2,0
230,2019-02-01,1867427.45,527190.48,79484.72,8.0,1.6,-2.4,0
231,2019-03-01,1889412.14,547575.54,74941.58,8.6,4.6,3.1,0
232,2019-04-01,1884670.33,540614.6,73965.76,8.5,2.9,3.5,0
233,2019-05-01,1891153.7,544355.64,72798.46,8.5,3.4,4.3,0
234,2019-06-01,1921360.19,567696.18,72580.96,8.5,4.4,4.3,0
235,2019-07-01,1919410.82,553043.11,72689.25,8.1,3.1,4.5,0
236,2019-08-01,1935492.43,556798.09,73152.62,8.2,3.4,4.8,0
237,2019-09-01,1952250.49,557137.95,74129.75,8.4,3.4,4.0,0
238,2019-10-01,1945600.55,558143.92,73395.4,8.4,3.3,4.7,0
239,2019-11-01,1961429.56,562486.52,73973.82,8.2,3.5,4.8,0
240,2019-12-01,1986488.82,576009.15,77189.47,8.7,4.4,5.4,0
241,2020-01-01,2023066.485,545531.7866,93249.1631,8.4,0.0,6.6,0
242,2020-02-01,2030830.424,552700.7291,88187.0537,8.8,4.8,10.9,0
243,2020-03-01,2080923.411,575050.2863,83022.2051,10.1,5.0,10.8,0
244,2020-04-01,2093533.829,570150.4789,81485.2149,11.1,5.5,10.2,0
245,2020-05-01,2100183.741,581111.0573,79706.8297,11.1,6.8,9.5,0
246,2020-06-01,2134948.661,604317.9685,79459.4067,11.1,6.5,9.5,0
247,2020-07-01,2125458.462,591192.6368,79867.2084,10.7,6.9,9.9,0
248,2020-08-01,2136836.91,601289.1,80042.71,10.4,8.0,9.4,0
249,2020-09-01,2164084.8,602312.12,82370.87,10.9,8.1,11.1,0
251,2020-10-01,2149720.42,609182.41,81036.43,10.5,9.1,10.4,0
250,2020-11-01,2172002.55,618632.17,81593.61,10.7,10.0,10.3,0
252,2020-12-01,2186795.89,625580.99,84314.53,10.1,8.6,9.2,0
253,2021-01-01,2213047.33,625563.81,89625.24,9.4,14.7,-3.9,1
254,2021-02-01,2236030.26,593487.46,91924.6,10.1,7.4,4.2,0
255,2021-03-01,2276488.45,616113.17,86543.64,9.4,7.1,4.2,0
256,2021-04-01,2262107.12,605421.89,85803.37,8.1,6.2,5.3,0
257,2021-05-01,2275538.07,616828.32,84177.72,8.3,6.1,5.6,0
258,2021-06-01,2317788.36,637479.36,84346.97,8.6,5.5,6.2,0
259,2021-07-01,2302153.82,620367.05,84717.56,8.3,4.9,6.1,0
260,2021-08-01,2312267.68,626658.69,85059.2,8.2,4.2,6.3,0
261,2021-09-01,2342829.7,624645.68,86867.09,8.3,3.7,5.5,0
262,2021-10-01,2336160.48,626082.12,86085.78,8.7,2.8,6.2,0
263,2021-11-01,2356012.76,637482.04,87433.41,8.5,3.0,7.2,0
264,2021-12-01,2382899.56,647443.35,90825.15,9.0,3.5,7.7,0
265,2022-01-01,2431022.72,613859.35,106188.87,9.8,-1.9,18.5,0
266,2022-02-01,2441488.9,621612.11,97227.7,9.2,4.7,5.8,0
267,2022-03-01,2497688.34,645063.8,95141.92,9.7,4.7,9.9,0
268,2022-04-01,2499710.9,636139.01,95626.49,10.5,5.1,11.4,0
269,2022-05-01,2527026.15,645107.52,95546.86,11.1,4.6,13.5,0
270,2022-06-01,2581451.2,674374.81,96011.17,11.4,5.8,13.8,0
271,2022-07-01,2578078.57,661832.33,96509.19,12.0,6.7,13.9,0
272,2022-08-01,2595068.27,664604.85,97231.03,12.2,6.1,14.3,0
273,2022-09-01,2626600.92,664535.17,98672.06,12.1,6.4,13.6,0
274,2022-10-01,2612914.57,662140.99,98416.71,11.8,5.8,14.3,0
277,2022-11-01,2647008.48,667042.61,99740.12,12.4,4.6,14.1,0
276,2022-12-01,2664320.84,671674.76,104706.03,11.8,3.7,15.3,0
275,2023-01-01,2738072.06,655214.16,114601.3,12.6,6.7,7.9,0
278,2023-02-01,2755200.0,657900.0,107600.0,12.9,5.8,10.6,0
279,2023-03-01,2814600.0,678100.0,105600.0,12.7,5.1,11.0,0
